ID,Area,Centre x,Centre y,Radius
1.0,200.0,901.0,891.0,8.06225774829855
2.0,200.0,121.0,306.0,8.06225774829855
5.0,200.0,1000.0,908.0,8.06225774829855
7.0,200.0,658.0,207.0,8.06225774829855
10.0,200.0,879.0,643.0,8.06225774829855
16.0,200.0,476.0,814.0,8.06225774829855
18.0,200.0,355.0,164.0,8.06225774829855
19.0,200.0,664.0,265.0,8.06225774829855
24.0,200.0,641.0,461.0,8.06225774829855
25.0,200.0,123.0,130.0,8.06225774829855
26.0,200.0,543.0,107.0,8.06225774829855
27.0,200.0,380.0,664.0,8.06225774829855
29.0,200.0,522.0,187.0,8.06225774829855
32.0,200.0,622.0,892.0,8.06225774829855
40.0,200.0,359.0,765.0,8.06225774829855
44.0,200.0,857.0,688.0,8.06225774829855
46.0,200.0,220.0,972.0,8.06225774829855
51.0,200.0,550.0,930.0,8.06225774829855
52.0,200.0,606.0,33.0,8.06225774829855
53.0,200.0,245.0,63.0,8.06225774829855
55.0,200.0,113.0,999.0,8.06225774829855
58.0,200.0,235.0,760.0,8.06225774829855
62.0,200.0,64.0,767.0,8.06225774829855
68.0,200.0,829.0,350.0,8.06225774829855
70.0,200.0,77.0,704.0,8.06225774829855
71.0,200.0,411.0,480.0,8.06225774829855
73.0,200.0,366.0,365.0,8.06225774829855
76.0,200.0,959.0,335.0,8.06225774829855
77.0,200.0,195.0,586.0,8.06225774829855
79.0,200.0,542.0,372.0,8.06225774829855
87.0,200.0,485.0,924.0,8.06225774829855
91.0,200.0,560.0,173.0,8.06225774829855
95.0,200.0,35.0,987.0,8.06225774829855
97.0,200.0,765.0,889.0,8.06225774829855
98.0,200.0,339.0,291.0,8.06225774829855
102.0,200.0,352.0,865.0,8.06225774829855
103.0,200.0,432.0,591.0,8.06225774829855
106.0,200.0,553.0,513.0,8.06225774829855
108.0,200.0,141.0,447.0,8.06225774829855
112.0,200.0,917.0,164.0,8.06225774829855
113.0,200.0,15.0,216.0,8.06225774829855
114.0,200.0,447.0,423.0,8.06225774829855
117.0,200.0,994.0,64.0,8.06225774829855
120.0,200.0,610.0,760.0,8.06225774829855
123.0,200.0,369.0,43.0,8.06225774829855
128.0,200.0,165.0,72.0,8.06225774829855
130.0,200.0,149.0,534.0,8.06225774829855
132.0,200.0,572.0,413.0,8.06225774829855
133.0,200.0,720.0,867.0,8.06225774829855
135.0,200.0,153.0,11.0,8.06225774829855
137.0,200.0,604.0,1003.0,8.06225774829855
138.0,200.0,429.0,102.0,8.06225774829855
142.0,200.0,701.0,219.0,8.06225774829855
143.0,200.0,297.0,561.0,8.06225774829855
155.0,200.0,834.0,148.0,8.06225774829855
157.0,200.0,405.0,618.0,8.06225774829855
159.0,200.0,645.0,378.0,8.06225774829855
161.0,200.0,894.0,577.0,8.06225774829855
163.0,200.0,407.0,52.0,8.06225774829855
167.0,200.0,87.0,77.0,8.06225774829855
170.0,200.0,103.0,246.0,8.06225774829855
171.0,200.0,347.0,37.0,8.06225774829855
172.0,200.0,285.0,375.0,8.06225774829855
174.0,200.0,205.0,275.0,8.06225774829855
179.0,200.0,847.0,996.0,8.06225774829855
180.0,200.0,543.0,321.0,8.06225774829855
182.0,200.0,117.0,175.0,8.06225774829855
183.0,200.0,808.0,151.0,8.06225774829855
184.0,200.0,554.0,877.0,8.06225774829855
186.0,200.0,637.0,488.0,8.06225774829855
189.0,200.0,161.0,424.0,8.06225774829855
191.0,200.0,370.0,841.0,8.06225774829855
194.0,200.0,409.0,887.0,8.06225774829855
195.0,200.0,729.0,682.0,8.06225774829855
196.0,200.0,151.0,397.0,8.06225774829855
210.0,200.0,735.0,158.0,8.06225774829855
212.0,200.0,61.0,324.0,8.06225774829855
213.0,200.0,251.0,207.0,8.06225774829855
218.0,200.0,928.0,514.0,8.06225774829855
220.0,200.0,589.0,105.0,8.06225774829855
224.0,200.0,988.0,20.0,8.06225774829855
225.0,200.0,1004.0,377.0,8.06225774829855
226.0,200.0,215.0,464.0,8.06225774829855
227.0,200.0,768.0,184.0,8.06225774829855
231.0,200.0,780.0,703.0,8.06225774829855
233.0,200.0,267.0,980.0,8.06225774829855
234.0,200.0,511.0,80.0,8.06225774829855
238.0,200.0,816.0,597.0,8.06225774829855
241.0,200.0,90.0,18.0,8.06225774829855
242.0,200.0,582.0,837.0,8.06225774829855
243.0,200.0,945.0,74.0,8.06225774829855
259.0,200.0,948.0,857.0,8.06225774829855
261.0,200.0,810.0,888.0,8.06225774829855
263.0,200.0,582.0,540.0,8.06225774829855
264.0,200.0,5.0,432.0,8.06225774829855
265.0,200.0,526.0,30.0,8.06225774829855
267.0,200.0,697.0,717.0,8.06225774829855
270.0,200.0,10.0,852.0,8.06225774829855
271.0,200.0,402.0,125.0,8.06225774829855
275.0,200.0,163.0,699.0,8.06225774829855
281.0,200.0,570.0,769.0,8.06225774829855
284.0,200.0,793.0,316.0,8.06225774829855
285.0,200.0,619.0,687.0,8.06225774829855
288.0,200.0,736.0,655.0,8.06225774829855
291.0,200.0,379.0,297.0,8.06225774829855
292.0,200.0,412.0,22.0,8.06225774829855
300.0,200.0,489.0,372.0,8.06225774829855
310.0,200.0,176.0,973.0,8.06225774829855
316.0,200.0,275.0,124.0,8.06225774829855
319.0,200.0,475.0,534.0,8.06225774829855
323.0,200.0,460.0,832.0,8.06225774829855
324.0,200.0,4.0,527.0,8.06225774829855
326.0,200.0,66.0,222.0,8.06225774829855
329.0,200.0,928.0,819.0,8.06225774829855
331.0,200.0,326.0,311.0,8.06225774829855
332.0,200.0,247.0,335.0,8.06225774829855
334.0,200.0,283.0,751.0,8.06225774829855
335.0,200.0,631.0,224.0,8.06225774829855
336.0,200.0,137.0,246.0,8.06225774829855
340.0,200.0,313.0,807.0,8.06225774829855
343.0,200.0,705.0,167.0,8.06225774829855
345.0,200.0,104.0,83.0,8.06225774829855
346.0,200.0,487.0,245.0,8.06225774829855
348.0,200.0,359.0,923.0,8.06225774829855
350.0,200.0,433.0,897.0,8.06225774829855
354.0,200.0,790.0,671.0,8.06225774829855
357.0,200.0,58.0,98.0,8.06225774829855
359.0,200.0,1007.0,724.0,8.06225774829855
363.0,200.0,530.0,591.0,8.06225774829855
365.0,200.0,451.0,235.0,8.06225774829855
367.0,200.0,423.0,740.0,8.06225774829855
369.0,200.0,82.0,916.0,8.06225774829855
370.0,200.0,886.0,96.0,8.06225774829855
371.0,200.0,664.0,953.0,8.06225774829855
372.0,200.0,232.0,28.0,8.06225774829855
373.0,200.0,859.0,61.0,8.06225774829855
376.0,200.0,353.0,467.0,8.06225774829855
377.0,200.0,435.0,837.0,8.06225774829855
378.0,200.0,712.0,551.0,8.06225774829855
387.0,200.0,395.0,684.0,8.06225774829855
389.0,200.0,582.0,977.0,8.06225774829855
