Tag number,Cluster size,Cluster volume,Cluster Centre x,Cluster Centre y,Event,Clusters in event,Timestep
535.0,3.0,0.0015043641525426669,0.0,20.0,Edge Appearance type 1,,170
5.0,320.0,1.657280656904301,7.0,134.0,Move,,170
527.0,3.0,0.0015043641525426669,0.0,163.0,Move,,170
1.0,168.0,0.6304273073010292,5.0,379.0,Move,,170
2.0,155.0,0.5586870968794886,5.0,533.0,Move,,170
3.0,168.0,0.6304273073010292,5.0,600.0,Move,,170
494.0,189.0,0.752252778063675,4.0,667.0,Move,,170
484.0,192.0,0.7702344461018454,6.0,721.0,Move,,170
531.0,44.0,0.08449871581543276,1.0,814.0,Move,,170
465.0,140.0,0.4795823014944653,4.0,906.0,Move,,170
13.0,200.0,0.8188721246808827,12.0,205.0,Move,,170
9.0,200.0,0.8188721246808827,16.0,854.0,Move,,170
10.0,400.0,2.316120129145952,19.0,929.0,Move,,170
7.0,200.0,0.8188721246808827,18.0,430.0,Move,,170
14.0,400.0,2.316120129145952,25.0,492.0,Move,,170
11.0,400.0,2.316120129145952,26.0,545.0,Move,,170
12.0,400.0,2.316120129145952,27.0,777.0,Move,,170
16.0,400.0,2.316120129145952,28.0,610.0,Move,,170
27.0,400.0,2.316120129145952,36.0,31.0,Move,,170
15.0,1200.0,12.034913220341341,48.0,253.0,Move,,170
23.0,200.0,0.8188721246808827,39.0,986.0,Move,,170
20.0,800.0,6.550976997447061,54.0,518.0,Move,,170
25.0,400.0,2.316120129145952,51.0,123.0,Move,,170
18.0,200.0,0.8188721246808827,48.0,691.0,Move,,170
19.0,200.0,0.8188721246808827,52.0,95.0,Move,,170
17.0,600.0,4.254984374547495,59.0,441.0,Move,,170
30.0,200.0,0.8188721246808827,62.0,219.0,Move,,170
32.0,200.0,0.8188721246808827,62.0,760.0,Move,,170
22.0,200.0,0.8188721246808827,65.0,332.0,Move,,170
28.0,200.0,0.8188721246808827,72.0,911.0,Move,,170
33.0,200.0,0.8188721246808827,73.0,699.0,Move,,170
38.0,600.0,4.254984374547495,86.0,316.0,Move,,170
34.0,200.0,0.8188721246808827,82.0,82.0,Move,,170
31.0,600.0,4.254984374547495,87.0,785.0,Move,,170
39.0,200.0,0.8188721246808827,89.0,8.0,Move,,170
36.0,400.0,2.316120129145952,97.0,466.0,Move,,170
42.0,200.0,0.8188721246808827,99.0,383.0,Move,,170
40.0,200.0,0.8188721246808827,100.0,249.0,Move,,170
35.0,1200.0,12.034913220341341,113.0,881.0,Move,,170
44.0,200.0,0.8188721246808827,104.0,90.0,Move,,170
46.0,200.0,0.8188721246808827,111.0,202.0,Move,,170
45.0,200.0,0.8188721246808827,116.0,173.0,Move,,170
51.0,400.0,2.316120129145952,120.0,919.0,Move,,170
48.0,139.0,0.4744531063273224,120.0,995.0,Move,,170
506.0,61.0,0.13793225822117572,120.0,2.0,Move,,170
47.0,200.0,0.8188721246808827,122.0,300.0,Move,,170
50.0,200.0,0.8188721246808827,126.0,130.0,Move,,170
49.0,400.0,2.316120129145952,135.0,752.0,Move,,170
54.0,200.0,0.8188721246808827,133.0,449.0,Move,,170
52.0,200.0,0.8188721246808827,144.0,397.0,Move,,170
57.0,200.0,0.8188721246808827,145.0,248.0,Move,,170
59.0,200.0,0.8188721246808827,149.0,533.0,Move,,170
60.0,200.0,0.8188721246808827,151.0,696.0,Move,,170
53.0,200.0,0.8188721246808827,153.0,12.0,Move,,170
55.0,200.0,0.8188721246808827,162.0,324.0,Move,,170
58.0,200.0,0.8188721246808827,167.0,81.0,Move,,170
65.0,200.0,0.8188721246808827,167.0,427.0,Move,,170
67.0,400.0,2.316120129145952,173.0,465.0,Move,,170
68.0,200.0,0.8188721246808827,172.0,340.0,Move,,170
69.0,200.0,0.8188721246808827,172.0,968.0,Move,,170
524.0,400.0,2.316120129145952,177.0,618.0,Move,,170
63.0,200.0,0.8188721246808827,174.0,904.0,Move,,170
64.0,400.0,2.316120129145952,180.0,147.0,Move,,170
74.0,800.0,6.550976997447061,195.0,784.0,Move,,170
70.0,400.0,2.316120129145952,196.0,315.0,Move,,170
76.0,400.0,2.316120129145952,197.0,20.0,Move,,170
75.0,200.0,0.8188721246808827,195.0,584.0,Move,,170
77.0,600.0,4.254984374547495,204.0,552.0,Move,,170
72.0,200.0,0.8188721246808827,207.0,273.0,Move,,170
78.0,200.0,0.8188721246808827,213.0,466.0,Move,,170
80.0,400.0,2.316120129145952,221.0,149.0,Move,,170
83.0,200.0,0.8188721246808827,219.0,966.0,Move,,170
79.0,200.0,0.8188721246808827,223.0,35.0,Move,,170
82.0,600.0,4.254984374547495,230.0,706.0,Move,,170
85.0,200.0,0.8188721246808827,232.0,764.0,Move,,170
84.0,200.0,0.8188721246808827,234.0,401.0,Move,,170
88.0,200.0,0.8188721246808827,247.0,56.0,Move,,170
87.0,200.0,0.8188721246808827,247.0,336.0,Move,,170
91.0,200.0,0.8188721246808827,250.0,203.0,Move,,170
90.0,200.0,0.8188721246808827,264.0,709.0,Move,,170
93.0,800.0,6.550976997447061,273.0,648.0,Move,,170
92.0,200.0,0.8188721246808827,266.0,975.0,Move,,170
95.0,400.0,2.316120129145952,274.0,173.0,Move,,170
96.0,200.0,0.8188721246808827,273.0,302.0,Move,,170
101.0,200.0,0.8188721246808827,278.0,120.0,Move,,170
100.0,200.0,0.8188721246808827,279.0,372.0,Move,,170
94.0,200.0,0.8188721246808827,286.0,747.0,Move,,170
98.0,109.0,0.3294661803139742,287.0,3.0,Move,,170
99.0,91.0,0.2513235482010892,287.0,996.0,Move,,170
103.0,400.0,2.316120129145952,293.0,292.0,Move,,170
104.0,600.0,4.254984374547495,296.0,90.0,Move,,170
102.0,200.0,0.8188721246808827,292.0,832.0,Move,,170
107.0,200.0,0.8188721246808827,296.0,563.0,Move,,170
106.0,400.0,2.316120129145952,301.0,870.0,Move,,170
109.0,200.0,0.8188721246808827,300.0,803.0,Move,,170
110.0,600.0,4.254984374547495,309.0,712.0,Move,,170
112.0,200.0,0.8188721246808827,317.0,156.0,Move,,170
