Tag number,Cluster size,Cluster volume,Cluster Centre x,Cluster Centre y,Event,Clusters in event,Timestep
344.0,200.0,0.8188721246808827,17.0,325.0,Appearance type 1,,700
345.0,200.0,0.8188721246808827,22.0,437.0,Appearance type 1,,700
346.0,400.0,2.316120129145952,33.0,228.0,Appearance type 1,,700
8.0,200.0,0.8188721246808827,63.0,940.0,Move,,700
6.0,200.0,0.8188721246808827,67.0,867.0,Move large,[6.0],700
296.0,200.0,0.8188721246808827,69.0,490.0,Move large,[296.0],700
3.0,200.0,0.8188721246808827,90.0,433.0,Move,,700
147.0,392.0,2.2469851101243417,102.0,58.0,Coagulation,"[147.0, 305.0]",700
10.0,200.0,0.8188721246808827,104.0,788.0,Move,,700
14.0,200.0,0.8188721246808827,109.0,233.0,Move,,700
15.0,200.0,0.8188721246808827,110.0,649.0,Move large,[15.0],700
207.0,200.0,0.8188721246808827,114.0,873.0,Move,,700
16.0,400.0,2.316120129145952,123.0,420.0,Move,,700
17.0,200.0,0.8188721246808827,133.0,164.0,Move,,700
13.0,200.0,0.8188721246808827,137.0,540.0,Move large,[13.0],700
19.0,200.0,0.8188721246808827,139.0,820.0,Move,,700
310.0,200.0,0.8188721246808827,158.0,836.0,Move large,[310.0],700
22.0,200.0,0.8188721246808827,167.0,900.0,Move large,[22.0],700
23.0,200.0,0.8188721246808827,168.0,309.0,Move large,[23.0],700
24.0,200.0,0.8188721246808827,179.0,185.0,Move,,700
25.0,200.0,0.8188721246808827,196.0,869.0,Move,,700
109.0,200.0,0.8188721246808827,204.0,340.0,Move,,700
313.0,200.0,0.8188721246808827,211.0,812.0,Move large,[313.0],700
26.0,200.0,0.8188721246808827,219.0,100.0,Move large,[26.0],700
27.0,200.0,0.8188721246808827,224.0,327.0,Move,,700
28.0,200.0,0.8188721246808827,242.0,698.0,Move large,[28.0],700
30.0,200.0,0.8188721246808827,299.0,332.0,Move large,[30.0],700
31.0,200.0,0.8188721246808827,320.0,970.0,Move large,[31.0],700
32.0,200.0,0.8188721246808827,337.0,64.0,Move large,[32.0],700
34.0,200.0,0.8188721246808827,366.0,737.0,Move,,700
33.0,200.0,0.8188721246808827,373.0,168.0,Move large,[33.0],700
319.0,198.0,0.8066198018877407,390.0,992.0,Move large and grow,[319.0],700
362.0,2.0,0.0008188721246808825,390.0,0.0,Edge Appearance type 1,,700
35.0,400.0,2.316120129145952,404.0,670.0,Move,,700
39.0,200.0,0.8188721246808827,421.0,575.0,Move large,[39.0],700
40.0,200.0,0.8188721246808827,442.0,94.0,Move,,700
41.0,200.0,0.8188721246808827,450.0,835.0,Move large,[41.0],700
37.0,200.0,0.8188721246808827,458.0,730.0,Move large,[37.0],700
42.0,200.0,0.8188721246808827,459.0,488.0,Move large,[42.0],700
43.0,200.0,0.8188721246808827,474.0,526.0,Move,,700
45.0,200.0,0.8188721246808827,523.0,721.0,Move large,[45.0],700
46.0,600.0,4.254984374547495,540.0,355.0,Move,,700
47.0,200.0,0.8188721246808827,537.0,820.0,Move,,700
218.0,200.0,0.8188721246808827,542.0,40.0,Move,,700
48.0,200.0,0.8188721246808827,570.0,651.0,Move,,700
50.0,200.0,0.8188721246808827,572.0,521.0,Move,,700
368.0,200.0,0.8188721246808827,574.0,749.0,Move large,[45.0],700
59.0,200.0,0.8188721246808827,577.0,163.0,Move,,700
221.0,192.0,0.7702344461018454,579.0,6.0,Move,,700
369.0,8.0,0.00655097699744706,579.0,999.0,Splitting,[168.0],700
55.0,200.0,0.8188721246808827,601.0,251.0,Move,,700
64.0,200.0,0.8188721246808827,605.0,822.0,Move large,[64.0],700
56.0,400.0,2.316120129145952,624.0,366.0,Move,,700
70.0,200.0,0.8188721246808827,622.0,870.0,Move,,700
270.0,200.0,0.8188721246808827,624.0,8.0,Move,,700
61.0,200.0,0.8188721246808827,637.0,527.0,Move large,[61.0],700
172.0,200.0,0.8188721246808827,645.0,185.0,Move,,700
63.0,200.0,0.8188721246808827,647.0,676.0,Move large,[63.0],700
373.0,200.0,0.8188721246808827,654.0,864.0,Move large,[64.0],700
62.0,200.0,0.8188721246808827,659.0,312.0,Move large,[62.0],700
69.0,400.0,2.316120129145952,672.0,72.0,Move large,[69.0],700
68.0,200.0,0.8188721246808827,670.0,915.0,Move large,[68.0],700
67.0,200.0,0.8188721246808827,675.0,458.0,Move,,700
281.0,200.0,0.8188721246808827,686.0,355.0,Move large,[281.0],700
72.0,400.0,2.316120129145952,694.0,245.0,Move,,700
232.0,200.0,0.8188721246808827,696.0,373.0,Move,,700
131.0,400.0,2.316120129145952,710.0,479.0,Move,,700
65.0,400.0,2.316120129145952,710.0,916.0,Coagulation,"[278.0, 65.0]",700
181.0,200.0,0.8188721246808827,717.0,295.0,Move,,700
284.0,200.0,0.8188721246808827,722.0,954.0,Move large,[284.0],700
77.0,200.0,0.8188721246808827,739.0,414.0,Move large,[77.0],700
78.0,200.0,0.8188721246808827,762.0,804.0,Move,,700
79.0,200.0,0.8188721246808827,804.0,179.0,Move large,[79.0],700
81.0,200.0,0.8188721246808827,806.0,881.0,Move,,700
80.0,200.0,0.8188721246808827,813.0,399.0,Move large,[80.0],700
85.0,200.0,0.8188721246808827,858.0,979.0,Move large,[85.0],700
83.0,200.0,0.8188721246808827,868.0,35.0,Move,,700
338.0,200.0,0.8188721246808827,868.0,870.0,Move,,700
82.0,200.0,0.8188721246808827,872.0,317.0,Move large,[82.0],700
384.0,200.0,0.8188721246808827,897.0,38.0,Appearance type 1,,700
91.0,200.0,0.8188721246808827,910.0,959.0,Move,,700
88.0,200.0,0.8188721246808827,913.0,390.0,Move large,[88.0],700
87.0,400.0,2.316120129145952,929.0,857.0,Move,,700
92.0,200.0,0.8188721246808827,938.0,114.0,Move,,700
342.0,200.0,0.8188721246808827,948.0,29.0,Move,,700
240.0,400.0,2.316120129145952,964.0,437.0,Move,,700
96.0,200.0,0.8188721246808827,965.0,268.0,Move,,700
93.0,400.0,2.316120129145952,974.0,479.0,Move,,700
