Tag number,Cluster size,Cluster volume,Cluster Centre x,Cluster Centre y,Event,Clusters in event,Timestep
1893.0,200.0,0.8188721246808827,16.0,101.0,Move,,3900
1168.0,1200.0,12.034913220341341,45.0,28.0,Move,,3900
1926.0,400.0,2.316120129145952,44.0,224.0,Move,,3900
1937.0,400.0,2.316120129145952,44.0,843.0,Appearance type 1,,3900
1849.0,400.0,2.316120129145952,44.0,946.0,Move,,3900
26.0,1600.0,18.528961033167615,57.0,590.0,Move,,3900
15.0,1600.0,18.528961033167615,84.0,307.0,Coagulation,"[1894.0, 15.0]",3900
746.0,1400.0,15.165723982280841,76.0,413.0,Move,,3900
31.0,2000.0,25.895010264129706,92.0,138.0,Move,,3900
1129.0,200.0,0.8188721246808827,101.0,521.0,Move large,[1129.0],3900
1927.0,200.0,0.8188721246808827,106.0,52.0,Move,,3900
1872.0,759.0,6.053879299163755,129.0,11.0,Move,,3900
1928.0,241.0,1.0831700867593808,129.0,995.0,Move,,3900
824.0,600.0,4.254984374547495,133.0,199.0,Move,,3900
485.0,800.0,6.550976997447061,146.0,664.0,Move,,3900
667.0,600.0,4.254984374547495,157.0,944.0,Move,,3900
93.0,600.0,4.254984374547495,167.0,272.0,Move,,3900
348.0,2400.0,34.03987499637996,189.0,786.0,Move,,3900
68.0,3200.0,52.40781597957649,199.0,563.0,Move,,3900
70.0,800.0,6.550976997447061,209.0,307.0,Move,,3900
80.0,1800.0,22.109547366383826,219.0,382.0,Move,,3900
1033.0,200.0,0.8188721246808827,203.0,722.0,Move large,[1033.0],3900
72.0,800.0,6.550976997447061,227.0,113.0,Move,,3900
1876.0,400.0,2.316120129145952,237.0,688.0,Move large,[1876.0],3900
89.0,2000.0,25.895010264129706,277.0,919.0,Move,,3900
94.0,600.0,4.254984374547495,267.0,157.0,Move large,[94.0],3900
503.0,600.0,4.254984374547495,270.0,347.0,Move,,3900
74.0,1000.0,9.155268678330678,309.0,833.0,Move,,3900
96.0,4000.0,73.24214942664543,328.0,495.0,Move,,3900
85.0,1200.0,12.034913220341341,330.0,683.0,Move,,3900
362.0,200.0,0.8188721246808827,324.0,76.0,Move large,[362.0],3900
1879.0,600.0,4.254984374547495,333.0,882.0,Move,,3900
679.0,200.0,0.8188721246808827,334.0,178.0,Move large,[679.0],3900
102.0,800.0,6.550976997447061,343.0,363.0,Move,,3900
99.0,2000.0,25.895010264129706,368.0,639.0,Move,,3900
105.0,3400.0,57.39703648686495,411.0,767.0,Move,,3900
378.0,1000.0,9.155268678330678,410.0,852.0,Move,,3900
501.0,1000.0,9.155268678330678,411.0,155.0,Move,,3900
678.0,1200.0,12.034913220341341,438.0,105.0,Move,,3900
162.0,5000.0,102.35901558511031,472.0,513.0,Move,,3900
144.0,4200.0,78.80341341262866,470.0,207.0,Move,,3900
175.0,200.0,0.8188721246808827,462.0,399.0,Move large,[175.0],3900
1917.0,200.0,0.8188721246808827,481.0,10.0,Move,,3900
159.0,600.0,4.254984374547495,511.0,797.0,Move,,3900
1441.0,1000.0,9.155268678330678,519.0,885.0,Move,,3900
183.0,1200.0,12.034913220341341,524.0,86.0,Move,,3900
185.0,200.0,0.8188721246808827,525.0,316.0,Move,,3900
171.0,1600.0,18.528961033167615,542.0,655.0,Move,,3900
173.0,2200.0,29.874807477323742,572.0,866.0,Move,,3900
1882.0,400.0,2.316120129145952,578.0,41.0,Move,,3900
220.0,2400.0,34.03987499637996,609.0,195.0,Move,,3900
1186.0,600.0,4.254984374547495,599.0,449.0,Move,,3900
231.0,4000.0,73.24214942664543,621.0,599.0,Move,,3900
235.0,4000.0,73.24214942664543,642.0,346.0,Move,,3900
203.0,200.0,0.8188721246808827,643.0,466.0,Move large,[203.0],3900
1724.0,400.0,2.316120129145952,654.0,54.0,Move,,3900
251.0,1800.0,22.109547366383826,670.0,720.0,Move,,3900
242.0,3400.0,57.39703648686495,705.0,873.0,Move,,3900
246.0,200.0,0.8188721246808827,707.0,412.0,Move,,3900
1411.0,200.0,0.8188721246808827,722.0,978.0,Move,,3900
210.0,200.0,0.8188721246808827,735.0,459.0,Move,,3900
245.0,2600.0,38.38231063660581,760.0,70.0,Move,,3900
867.0,5400.0,114.88457811278235,795.0,425.0,Move,,3900
1560.0,800.0,6.550976997447061,780.0,575.0,Move,,3900
282.0,1600.0,18.528961033167615,810.0,170.0,Move,,3900
277.0,2400.0,34.03987499637996,829.0,623.0,Move,,3900
1751.0,1000.0,9.155268678330678,831.0,966.0,Move,,3900
253.0,2400.0,34.03987499637996,845.0,221.0,Move,,3900
299.0,200.0,0.8188721246808827,829.0,317.0,Move large,[299.0],3900
258.0,800.0,6.550976997447061,838.0,867.0,Move,,3900
290.0,1600.0,18.528961033167615,866.0,713.0,Move large,[290.0],3900
1416.0,1000.0,9.155268678330678,869.0,28.0,Move,,3900
559.0,400.0,2.316120129145952,897.0,157.0,Move,,3900
1906.0,1000.0,9.155268678330678,915.0,899.0,Move,,3900
933.0,600.0,4.254984374547495,912.0,581.0,Move,,3900
716.0,400.0,2.316120129145952,918.0,663.0,Move,,3900
1070.0,200.0,0.8188721246808827,940.0,618.0,Move,,3900
315.0,400.0,2.316120129145952,959.0,319.0,Move,,3900
1599.0,200.0,0.8188721246808827,959.0,276.0,Move large,[1599.0],3900
1844.0,200.0,0.8188721246808827,963.0,406.0,Move,,3900
