Tag number,Cluster size,Cluster volume,Cluster Centre x,Cluster Centre y,Event,Clusters in event,Timestep
457.0,3.0,0.0015043641525426669,0.0,109.0,Edge Appearance type 1,,310
2.0,200.0,0.8188721246808827,8.0,226.0,Move,,310
434.0,110.0,0.3340105016700744,3.0,424.0,Move,,310
6.0,101.0,0.29386858017132733,2.0,535.0,Move,,310
447.0,29.0,0.04521349620607567,1.0,587.0,Move,,310
438.0,125.0,0.40460953537702665,4.0,750.0,Move,,310
15.0,181.0,0.704999739154436,6.0,902.0,Move,,310
1.0,400.0,2.316120129145952,14.0,90.0,Move,,310
452.0,200.0,0.8188721246808827,13.0,445.0,Move,,310
8.0,200.0,0.8188721246808827,15.0,115.0,Move,,310
14.0,200.0,0.8188721246808827,17.0,295.0,Move,,310
7.0,200.0,0.8188721246808827,18.0,336.0,Move,,310
10.0,1000.0,9.155268678330678,39.0,696.0,Move,,310
11.0,200.0,0.8188721246808827,31.0,771.0,Move,,310
453.0,200.0,0.8188721246808827,32.0,444.0,Move,,310
17.0,400.0,2.316120129145952,36.0,921.0,Move,,310
16.0,400.0,2.316120129145952,51.0,31.0,Move,,310
22.0,200.0,0.8188721246808827,54.0,334.0,Move,,310
21.0,200.0,0.8188721246808827,63.0,580.0,Move,,310
20.0,400.0,2.316120129145952,71.0,836.0,Move,,310
31.0,200.0,0.8188721246808827,69.0,129.0,Move,,310
18.0,1200.0,12.034913220341341,81.0,177.0,Move,,310
24.0,800.0,6.550976997447061,80.0,272.0,Move,,310
36.0,200.0,0.8188721246808827,77.0,589.0,Move,,310
25.0,400.0,2.316120129145952,83.0,632.0,Move,,310
30.0,200.0,0.8188721246808827,82.0,80.0,Move,,310
28.0,200.0,0.8188721246808827,93.0,346.0,Move,,310
33.0,200.0,0.8188721246808827,99.0,540.0,Move,,310
40.0,400.0,2.316120129145952,103.0,218.0,Move,,310
34.0,200.0,0.8188721246808827,104.0,394.0,Move,,310
37.0,1600.0,18.528961033167615,119.0,808.0,Move,,310
45.0,200.0,0.8188721246808827,106.0,765.0,Move,,310
39.0,400.0,2.316120129145952,117.0,466.0,Move,,310
43.0,200.0,0.8188721246808827,115.0,69.0,Move,,310
44.0,200.0,0.8188721246808827,117.0,363.0,Move,,310
412.0,200.0,0.8188721246808827,118.0,124.0,Move,,310
42.0,1000.0,9.155268678330678,133.0,314.0,Move,,310
51.0,200.0,0.8188721246808827,125.0,26.0,Move,,310
47.0,200.0,0.8188721246808827,129.0,650.0,Move,,310
48.0,400.0,2.316120129145952,137.0,99.0,Move,,310
55.0,200.0,0.8188721246808827,139.0,263.0,Move,,310
60.0,200.0,0.8188721246808827,140.0,539.0,Move,,310
46.0,200.0,0.8188721246808827,143.0,388.0,Move,,310
58.0,400.0,2.316120129145952,150.0,498.0,Move,,310
53.0,200.0,0.8188721246808827,150.0,449.0,Move,,310
64.0,1000.0,9.155268678330678,162.0,164.0,Move,,310
62.0,400.0,2.316120129145952,156.0,732.0,Move,,310
61.0,400.0,2.316120129145952,159.0,360.0,Move,,310
59.0,600.0,4.254984374547495,161.0,683.0,Move,,310
70.0,200.0,0.8188721246808827,162.0,11.0,Move,,310
65.0,600.0,4.254984374547495,167.0,826.0,Move,,310
71.0,200.0,0.8188721246808827,172.0,282.0,Move,,310
73.0,400.0,2.316120129145952,176.0,954.0,Move,,310
74.0,200.0,0.8188721246808827,175.0,576.0,Move,,310
