Tag number,Cluster size,Cluster volume,Cluster Centre x,Cluster Centre y,Event,Clusters in event,Timestep
2.0,155.0,0.5586870968794886,5.0,249.0,Move,,180
493.0,47.0,0.09328630275845784,1.0,294.0,Edge Appearance type 1,,180
456.0,235.0,1.042972571687689,5.0,642.0,Move,,180
5.0,77.0,0.19561726463296106,2.0,807.0,Move,,180
494.0,10.0,0.009155268678330684,0.0,1128.0,Edge Appearance type 1,,180
495.0,10.0,0.009155268678330684,0.0,1306.0,Edge Appearance type 1,,180
3.0,200.0,0.8188721246808827,9.0,392.0,Move,,180
14.0,200.0,0.8188721246808827,11.0,87.0,Move,,180
10.0,200.0,0.8188721246808827,11.0,736.0,Move,,180
12.0,420.0,2.491982737797688,17.0,1146.0,Move,,180
6.0,200.0,0.8188721246808827,14.0,872.0,Move,,180
496.0,200.0,0.8188721246808827,15.0,1329.0,Appearance type 1,,180
455.0,200.0,0.8188721246808827,17.0,137.0,Move,,180
9.0,200.0,0.8188721246808827,23.0,291.0,Move,,180
16.0,200.0,0.8188721246808827,23.0,579.0,Move,,180
20.0,200.0,0.8188721246808827,30.0,1012.0,Move,,180
15.0,200.0,0.8188721246808827,32.0,41.0,Move,,180
19.0,200.0,0.8188721246808827,35.0,399.0,Move,,180
458.0,400.0,2.316120129145952,38.0,690.0,Move,,180
17.0,200.0,0.8188721246808827,37.0,511.0,Move,,180
422.0,200.0,0.8188721246808827,38.0,224.0,Move,,180
22.0,200.0,0.8188721246808827,48.0,1203.0,Move,,180
28.0,200.0,0.8188721246808827,51.0,1116.0,Move,,180
29.0,400.0,2.316120129145952,57.0,754.0,Move,,180
18.0,400.0,2.316120129145952,58.0,847.0,Move,,180
21.0,200.0,0.8188721246808827,57.0,552.0,Move,,180
37.0,800.0,6.550976997447061,67.0,25.0,Move,,180
35.0,200.0,0.8188721246808827,60.0,719.0,Move,,180
33.0,600.0,4.254984374547495,66.0,141.0,Move,,180
39.0,200.0,0.8188721246808827,72.0,1251.0,Move,,180
40.0,200.0,0.8188721246808827,77.0,1112.0,Move,,180
34.0,400.0,2.316120129145952,82.0,232.0,Move,,180
36.0,200.0,0.8188721246808827,80.0,971.0,Move,,180
45.0,400.0,2.316120129145952,85.0,659.0,Move,,180
48.0,200.0,0.8188721246808827,86.0,716.0,Move,,180
41.0,200.0,0.8188721246808827,88.0,1240.0,Move,,180
51.0,200.0,0.8188721246808827,90.0,463.0,Move,,180
49.0,200.0,0.8188721246808827,90.0,616.0,Move,,180
42.0,200.0,0.8188721246808827,93.0,1320.0,Move,,180
44.0,400.0,2.316120129145952,97.0,1069.0,Move,,180
47.0,200.0,0.8188721246808827,95.0,575.0,Move,,180
38.0,600.0,4.254984374547495,102.0,935.0,Move,,180
53.0,200.0,0.8188721246808827,98.0,542.0,Move,,180
46.0,200.0,0.8188721246808827,102.0,434.0,Move,,180
52.0,200.0,0.8188721246808827,104.0,193.0,Move,,180
50.0,800.0,6.550976997447061,118.0,802.0,Move,,180
54.0,200.0,0.8188721246808827,115.0,1093.0,Move,,180
55.0,200.0,0.8188721246808827,118.0,363.0,Move,,180
68.0,200.0,0.8188721246808827,128.0,720.0,Move,,180
59.0,400.0,2.316120129145952,133.0,45.0,Move,,180
63.0,200.0,0.8188721246808827,131.0,1312.0,Move,,180
57.0,200.0,0.8188721246808827,132.0,318.0,Move,,180
62.0,200.0,0.8188721246808827,137.0,937.0,Move,,180
61.0,600.0,4.254984374547495,147.0,1257.0,Move,,180
64.0,400.0,2.316120129145952,146.0,81.0,Move,,180
67.0,200.0,0.8188721246808827,146.0,346.0,Move large,[67.0],180
66.0,200.0,0.8188721246808827,146.0,460.0,Move,,180
71.0,1400.0,15.165723982280841,163.0,809.0,Move,,180
69.0,200.0,0.8188721246808827,150.0,896.0,Move,,180
65.0,400.0,2.316120129145952,161.0,1005.0,Move,,180
75.0,200.0,0.8188721246808827,175.0,446.0,Move,,180
76.0,400.0,2.316120129145952,178.0,936.0,Move,,180
72.0,200.0,0.8188721246808827,175.0,1146.0,Move,,180
74.0,200.0,0.8188721246808827,178.0,721.0,Move,,180
78.0,200.0,0.8188721246808827,181.0,1052.0,Move,,180
83.0,200.0,0.8188721246808827,182.0,546.0,Move,,180
81.0,200.0,0.8188721246808827,184.0,384.0,Move,,180
84.0,400.0,2.316120129145952,192.0,980.0,Move,,180
73.0,600.0,4.254984374547495,195.0,1111.0,Move,,180
87.0,200.0,0.8188721246808827,192.0,598.0,Move,,180
80.0,200.0,0.8188721246808827,192.0,654.0,Move,,180
90.0,600.0,4.254984374547495,202.0,37.0,Move,,180
82.0,200.0,0.8188721246808827,199.0,837.0,Move,,180
79.0,200.0,0.8188721246808827,201.0,469.0,Move,,180
92.0,200.0,0.8188721246808827,203.0,488.0,Move,,180
91.0,200.0,0.8188721246808827,204.0,207.0,Move,,180
85.0,800.0,6.550976997447061,212.0,1038.0,Move,,180
86.0,200.0,0.8188721246808827,205.0,738.0,Move,,180
88.0,200.0,0.8188721246808827,208.0,121.0,Move,,180
89.0,400.0,2.316120129145952,212.0,802.0,Move,,180
98.0,200.0,0.8188721246808827,215.0,766.0,Move,,180
424.0,155.0,0.5586870968794886,218.0,5.0,Move,,180
471.0,45.0,0.08739565964143772,218.0,1342.0,Move,,180
93.0,200.0,0.8188721246808827,221.0,1270.0,Move,,180
99.0,200.0,0.8188721246808827,226.0,247.0,Move,,180
97.0,400.0,2.316120129145952,229.0,1225.0,Move,,180
100.0,200.0,0.8188721246808827,232.0,308.0,Move,,180
103.0,200.0,0.8188721246808827,242.0,900.0,Move,,180
106.0,400.0,2.316120129145952,253.0,573.0,Move,,180
102.0,200.0,0.8188721246808827,255.0,1109.0,Move,,180
108.0,200.0,0.8188721246808827,258.0,86.0,Move,,180
107.0,200.0,0.8188721246808827,262.0,188.0,Move,,180
116.0,800.0,6.550976997447061,272.0,1042.0,Move,,180
109.0,800.0,6.550976997447061,274.0,328.0,Move,,180
111.0,200.0,0.8188721246808827,268.0,41.0,Move,,180
105.0,200.0,0.8188721246808827,272.0,8.0,Move,,180
115.0,200.0,0.8188721246808827,272.0,269.0,Move,,180
113.0,400.0,2.316120129145952,275.0,839.0,Move,,180
112.0,200.0,0.8188721246808827,277.0,511.0,Move,,180
114.0,400.0,2.316120129145952,287.0,875.0,Move,,180
119.0,200.0,0.8188721246808827,285.0,207.0,Move,,180
117.0,600.0,4.254984374547495,295.0,402.0,Move,,180
118.0,200.0,0.8188721246808827,291.0,435.0,Move,,180
121.0,200.0,0.8188721246808827,296.0,472.0,Move,,180
125.0,200.0,0.8188721246808827,297.0,1258.0,Move,,180
124.0,200.0,0.8188721246808827,300.0,1180.0,Move,,180
122.0,400.0,2.316120129145952,305.0,111.0,Move,,180
123.0,200.0,0.8188721246808827,307.0,655.0,Move,,180
133.0,200.0,0.8188721246808827,314.0,533.0,Move,,180
131.0,800.0,6.550976997447061,323.0,498.0,Move,,180
127.0,200.0,0.8188721246808827,315.0,975.0,Move,,180
134.0,400.0,2.316120129145952,320.0,305.0,Move,,180
128.0,1000.0,9.155268678330678,330.0,1093.0,Move,,180
130.0,200.0,0.8188721246808827,321.0,1230.0,Move,,180
129.0,200.0,0.8188721246808827,332.0,888.0,Move,,180
132.0,400.0,2.316120129145952,337.0,967.0,Move,,180
135.0,200.0,0.8188721246808827,337.0,1241.0,Move,,180
146.0,200.0,0.8188721246808827,339.0,600.0,Move,,180
137.0,200.0,0.8188721246808827,347.0,864.0,Move,,180
138.0,200.0,0.8188721246808827,350.0,648.0,Move,,180
145.0,200.0,0.8188721246808827,350.0,825.0,Move large,[145.0],180
139.0,400.0,2.316120129145952,353.0,901.0,Move,,180
143.0,200.0,0.8188721246808827,351.0,280.0,Move,,180
142.0,400.0,2.316120129145952,356.0,132.0,Move,,180
136.0,400.0,2.316120129145952,356.0,342.0,Move,,180
499.0,200.0,0.8188721246808827,359.0,45.0,Appearance type 1,,180
150.0,1000.0,9.155268678330678,371.0,1019.0,Move,,180
149.0,200.0,0.8188721246808827,368.0,434.0,Move,,180
155.0,200.0,0.8188721246808827,369.0,1118.0,Move,,180
152.0,200.0,0.8188721246808827,370.0,300.0,Move,,180
151.0,200.0,0.8188721246808827,371.0,790.0,Move,,180
159.0,200.0,0.8188721246808827,382.0,458.0,Move,,180
157.0,200.0,0.8188721246808827,382.0,839.0,Move,,180
158.0,200.0,0.8188721246808827,384.0,40.0,Move,,180
163.0,200.0,0.8188721246808827,384.0,1324.0,Move,,180
162.0,400.0,2.316120129145952,389.0,695.0,Move,,180
156.0,200.0,0.8188721246808827,391.0,1173.0,Move,,180
153.0,200.0,0.8188721246808827,394.0,663.0,Move,,180
161.0,200.0,0.8188721246808827,396.0,66.0,Move,,180
166.0,200.0,0.8188721246808827,402.0,322.0,Move,,180
171.0,200.0,0.8188721246808827,402.0,1262.0,Move,,180
165.0,200.0,0.8188721246808827,407.0,549.0,Move,,180
164.0,200.0,0.8188721246808827,409.0,722.0,Move,,180
167.0,200.0,0.8188721246808827,411.0,280.0,Move,,180
175.0,200.0,0.8188721246808827,414.0,112.0,Move,,180
178.0,600.0,4.254984374547495,419.0,764.0,Move,,180
174.0,400.0,2.316120129145952,422.0,1182.0,Move,,180
173.0,400.0,2.316120129145952,423.0,1023.0,Move,,180
172.0,200.0,0.8188721246808827,424.0,1059.0,Move,,180
179.0,400.0,2.316120129145952,428.0,939.0,Move,,180
170.0,200.0,0.8188721246808827,427.0,668.0,Move,,180
168.0,200.0,0.8188721246808827,428.0,468.0,Move,,180
182.0,200.0,0.8188721246808827,430.0,633.0,Move,,180
177.0,200.0,0.8188721246808827,436.0,551.0,Move,,180
176.0,200.0,0.8188721246808827,439.0,60.0,Move,,180
181.0,200.0,0.8188721246808827,443.0,301.0,Move,,180
185.0,200.0,0.8188721246808827,444.0,451.0,Move,,180
